Product_ID,Product_Name,Category,Sub_Category,Price,Customer_Age,Customer_Gender,Purchase_History,Review_Rating,Review_Sentiment,Customer_ID
P0029,Smartphone,Electronics,Tablets,325.36,27,Female,29,4,Positive,29
P0030,Football,Sports,Bicycle,127.73,51,Female,18,4,Neutral,30
P0031,T-Shirt,Clothing,Dresses,106.64,57,Male,13,3,Positive,31
P0032,Pants,Clothing,T-Shirts,174.98,37,Female,26,3,Neutral,32
P0033,Air Conditioner,Home Appliances,Microwave,918.36,21,Female,24,4,Very Positive,33
P0034,Shampoo,Beauty,Nail Polish,37.54,24,Female,11,2,Neutral,34
P0035,Soccer Ball,Sports,Yoga Mat,657.58,26,Female,49,4,Very Positive,35
P0036,Laptop,Electronics,Tablets,1154.45,65,Male,11,5,Very Positive,36
P0037,Headphones,Electronics,Smartwatches,1146.26,29,Male,42,4,Very Positive,37
P0038,Skincare Cream,Beauty,Makeup,117.82,44,Male,23,4,Positive,38
P0039,Soccer Ball,Sports,Basketball,190.44,34,Female,30,5,Neutral,39
P0040,Skincare Cream,Beauty,Hair Care,135.03,50,Female,12,5,Positive,40
P0041,Nail Polish,Beauty,Hair Care,20.88,36,Female,14,2,Neutral,41
P0042,Lipstick,Beauty,Makeup,81.69,43,Male,25,3,Positive,42
P0043,Smartwatch,Electronics,Mobile Phones,507.89,33,Female,10,5,Positive,43
P0044,Air Conditioner,Home Appliances,Washing Machine,475.28,63,Male,16,4,Very Positive,44
P0045,Skincare Cream,Beauty,Hair Care,162.11,53,Male,4,4,Positive,45
P0046,Shoes,Clothing,Sweaters,24.79,37,Female,25,2,Neutral,46
P0047,Couch,Furniture,Table,729.51,35,Male,24,5,Very Positive,47
P0048,Headphones,Electronics,Speakers,309.54,46,Male,14,4,Positive,48
P0049,Bluetooth Speaker,Electronics,Speakers,980.31,62,Female,19,5,Very Positive,49
P0050,Refrigerator,Home Appliances,Washing Machine,636.71,31,Female,19,4,Positive,50
P0051,Tennis Racket,Sports,Bicycle,346.99,22,Male,33,4,Positive,51
P0052,Air Conditioner,Home Appliances,Washing Machine,860.57,25,Female,49,4,Positive,52
P0053,Vacuum Cleaner,Home Appliances,Microwave,373.64,62,Female,8,4,Very Positive,53
P0054,Air Conditioner,Home Appliances,Refrigerator,228.73,23,Female,10,4,Positive,54
P0055,Headphones,Electronics,Tablets,407.96,48,Male,14,4,Very Positive,55
P0056,Refrigerator,Home Appliances,Refrigerator,508.45,38,Female,24,5,Very Positive,56
P0057,Bookshelf,Furniture,Bookshelf,1337.29,47,Male,21,4,Positive,57
P0058,Wireless Mouse,Electronics,Tablets,1417.75,38,Male,14,5,Very Positive,58
P0059,Soccer Ball,Sports,Yoga Mat,215.63,42,Female,11,4,Positive,59
P0060,Football,Sports,Basketball,689.4,21,Male,49,4,Very Positive,60
P0061,Bicycle,Sports,Football,504.89,54,Female,6,5,Very Positive,61
P0062,Basketball,Sports,Football,552.77,35,Female,19,4,Positive,62
P0063,Chair,Furniture,Cabinet,745.53,19,Male,17,5,Very Positive,63
P0064,Couch,Furniture,Sofa,418.56,48,Male,11,4,Very Positive,64
P0065,Basketball,Sports,Tennis Racket,599.39,53,Female,4,4,Very Positive,65
P0066,Smartphone,Electronics,Laptops,783.19,35,Female,17,4,Positive,66
P0067,Refrigerator,Home Appliances,Refrigerator,941.83,64,Female,10,5,Positive,67
P0068,Tennis Racket,Sports,Tennis Racket,30.11,62,Female,11,2,Negative,68
P0069,Smartwatch,Electronics,Tablets,325.33,51,Female,12,5,Very Positive,69
P0070,Wireless Mouse,Electronics,Speakers,875.37,22,Male,17,5,Very Positive,70
P0071,Washing Machine,Home Appliances,Microwave,702.89,49,Female,11,5,Very Positive,71
P0072,T-Shirt,Clothing,Sweaters,192.97,62,Female,17,3,Neutral,72
P0073,Bicycle,Sports,Football,545.35,63,Female,16,5,Very Positive,73
P0074,Yoga Mat,Sports,Football,630,34,Female,12,5,Very Positive,74
P0075,Dress,Clothing,Shoes,158.89,41,Female,27,3,Positive,75
P0076,Foundation,Beauty,Nail Polish,138.98,54,Female,5,5,Neutral,76
P0077,Football,Sports,Tennis Racket,378.83,54,Male,13,5,Positive,77
P0078,Air Conditioner,Home Appliances,Air Conditioner,631.99,47,Male,28,5,Very Positive,78
P0079,Refrigerator,Home Appliances,Microwave,490.63,43,Male,25,4,Very Positive,79
P0080,Bluetooth Speaker,Electronics,Smartwatches,1470.59,18,Male,21,4,Positive,80
P0081,Headphones,Electronics,Speakers,1201.94,60,Male,15,4,Very Positive,81
P0082,Foundation,Beauty,Fragrance,161.47,52,Male,1,5,Positive,82
P0083,Bicycle,Sports,Basketball,668.03,65,Male,12,5,Very Positive,83
P0084,Washing Machine,Home Appliances,Air Conditioner,696.33,41,Male,14,4,Very Positive,84
P0085,Shampoo,Beauty,Makeup,38.65,28,Male,16,3,Negative,85
P0086,Headphones,Electronics,Laptops,394.43,34,Female,13,5,Positive,86
P0087,Dishwasher,Home Appliances,Air Conditioner,131.89,57,Male,1,5,Positive,87
P0088,Couch,Furniture,Sofa,424.7,60,Female,15,4,Positive,88
P0089,Lipstick,Beauty,Nail Polish,46.61,22,Female,26,3,Negative,89
P0090,Bicycle,Sports,Football,299.04,24,Male,14,5,Very Positive,90
P0091,Air Conditioner,Home Appliances,Refrigerator,592.18,34,Female,12,5,Very Positive,91
P0092,Yoga Mat,Sports,Football,641.56,63,Female,17,5,Positive,92
P0093,Air Conditioner,Home Appliances,Air Conditioner,911.19,35,Male,29,5,Very Positive,93
P0094,Chair,Furniture,Bookshelf,717.85,55,Female,15,5,Very Positive,94
P0095,Bookshelf,Furniture,Cabinet,495.28,64,Female,14,5,Positive,95
P0096,Foundation,Beauty,Makeup,71.16,60,Male,6,4,Positive,96
P0097,Air Conditioner,Home Appliances,Refrigerator,60.54,55,Male,15,5,Neutral,97
P0098,Shampoo,Beauty,Skin Care,15.71,29,Female,42,3,Negative,98
P0099,Nail Polish,Beauty,Hair Care,196.16,41,Male,17,4,Neutral,99
P0100,Dress,Clothing,Jackets,150.08,45,Male,20,3,Neutral,100
P0101,Yoga Mat,Sports,Basketball,77.04,37,Male,22,4,Positive,101
P0102,Shampoo,Beauty,Skin Care,189.04,38,Female,17,4,Neutral,102
P0103,Shoes,Clothing,Pants,28.77,37,Male,28,1,Negative,103
P0104,Dress,Clothing,Shoes,96.79,27,Male,43,3,Positive,104
P0105,Dishwasher,Home Appliances,Microwave,735.67,53,Male,6,5,Very Positive,105
P0106,Smartwatch,Electronics,Smartwatches,947.76,27,Male,45,5,Very Positive,106
P0107,Bluetooth Speaker,Electronics,Headphones,922.26,45,Male,13,5,Very Positive,107
P0108,Lipstick,Beauty,Skin Care,66.46,43,Male,21,4,Neutral,108
P0109,Soccer Ball,Sports,Football,729.11,25,Male,21,5,Very Positive,109
P0110,Cabinet,Furniture,Sofa,637.97,58,Male,1,5,Positive,110
P0111,Skincare Cream,Beauty,Fragrance,114.34,59,Female,9,4,Neutral,111
P0112,Basketball,Sports,Yoga Mat,418.13,63,Female,8,5,Very Positive,112
P0113,Football,Sports,Tennis Racket,477.33,35,Female,21,5,Very Positive,113
P0114,Smartwatch,Electronics,Speakers,584.05,22,Female,31,4,Positive,114
P0115,Refrigerator,Home Appliances,Air Conditioner,329.2,34,Male,10,5,Positive,115
P0116,Bluetooth Speaker,Electronics,Tablets,312.9,52,Female,3,5,Very Positive,116
P0117,Refrigerator,Home Appliances,Vacuum Cleaner,903.34,26,Female,50,4,Very Positive,117
P0118,Shampoo,Beauty,Skin Care,32.43,64,Female,17,1,Neutral,118
P0119,Microwave,Home Appliances,Microwave,706.51,58,Female,2,5,Very Positive,119
P0120,Basketball,Sports,Tennis Racket,83.1,51,Male,7,4,Neutral,120
P0121,Dishwasher,Home Appliances,Air Conditioner,118.21,42,Male,24,5,Neutral,121
P0122,Air Conditioner,Home Appliances,Refrigerator,494.84,55,Female,7,4,Positive,122
P0123,Football,Sports,Bicycle,344.14,62,Male,4,4,Positive,123
P0124,Basketball,Sports,Football,230.54,28,Male,36,4,Positive,124
P0125,Tennis Racket,Sports,Tennis Racket,186.34,46,Female,17,3,Positive,125
P0126,Dishwasher,Home Appliances,Air Conditioner,505.69,42,Male,16,5,Very Positive,126
P0127,Couch,Furniture,Chair,1066.3,40,Male,10,5,Positive,127
P0128,T-Shirt,Clothing,Sweaters,63.54,22,Female,26,4,Neutral,128
P0129,Sweater,Clothing,Jackets,82.03,37,Female,28,3,Neutral,129
P0130,Washing Machine,Home Appliances,Refrigerator,429.36,64,Female,9,5,Very Positive,130
P0131,Tablet,Electronics,Smartwatches,276.02,42,Male,21,5,Positive,131
P0132,Football,Sports,Basketball,16.12,18,Female,8,3,Negative,132
P0133,Soccer Ball,Sports,Bicycle,456.4,44,Male,13,4,Positive,133
P0134,Shampoo,Beauty,Nail Polish,28.86,38,Male,16,1,Negative,134
P0135,Sweater,Clothing,Jackets,32.42,43,Female,18,3,Negative,135
P0136,Smartwatch,Electronics,Speakers,635.28,54,Male,4,5,Very Positive,136
P0137,Tennis Racket,Sports,Football,163.21,57,Male,20,4,Neutral,137
P0138,Chair,Furniture,Table,608.99,49,Male,29,4,Very Positive,138
P0139,Shampoo,Beauty,Makeup,12.36,64,Male,11,2,Negative,139
P0140,Air Conditioner,Home Appliances,Washing Machine,868.48,19,Male,10,5,Positive,140
P0141,Basketball,Sports,Tennis Racket,416.55,37,Female,28,4,Positive,141
P0142,Laptop,Electronics,Laptops,840.91,40,Female,17,4,Positive,142
P0143,Basketball,Sports,Football,778.11,40,Male,11,4,Positive,143
P0144,Football,Sports,Tennis Racket,734.23,57,Male,13,5,Positive,144
P0145,Cabinet,Furniture,Table,1305.95,23,Male,11,5,Positive,145
P0146,Shoes,Clothing,Sweaters,107.17,60,Male,12,4,Neutral,146
P0147,Dining Table,Furniture,Chair,1086.84,32,Female,17,4,Very Positive,147
P0148,Smartwatch,Electronics,Laptops,1387.93,45,Male,11,5,Positive,148
P0149,Tablet,Electronics,Speakers,955.13,36,Female,17,5,Positive,149
P0150,T-Shirt,Clothing,Dresses,150.86,57,Female,15,5,Neutral,150
P0151,Pants,Clothing,Dresses,19.75,60,Female,11,2,Neutral,151
P0152,Laptop,Electronics,Speakers,1335.05,41,Female,15,5,Positive,152
P0153,Football,Sports,Yoga Mat,190.01,36,Female,20,5,Positive,153
P0154,Chair,Furniture,Cabinet,934.59,62,Female,10,5,Positive,154
P0155,Dress,Clothing,Pants,185.96,53,Female,16,4,Positive,155
P0156,Smartwatch,Electronics,Tablets,1042.99,59,Male,12,4,Very Positive,156
P0157,Perfume,Beauty,Fragrance,124.19,36,Female,17,3,Positive,157
P0158,Foundation,Beauty,Fragrance,199.46,63,Female,3,4,Positive,158
P0159,Dress,Clothing,Sweaters,133.03,64,Male,18,4,Neutral,159
P0160,Tablet,Electronics,Mobile Phones,1116.04,57,Male,5,5,Very Positive,160
P0161,Microwave,Home Appliances,Air Conditioner,192.92,24,Male,43,5,Positive,161
P0162,Basketball,Sports,Yoga Mat,41.58,22,Female,8,2,Neutral,162
P0163,Nail Polish,Beauty,Fragrance,57.11,26,Male,17,3,Positive,163
P0164,Pants,Clothing,Jackets,96.89,59,Female,6,4,Positive,164
P0165,Wireless Mouse,Electronics,Headphones,79.13,61,Female,17,5,Neutral,165
P0166,Dishwasher,Home Appliances,Vacuum Cleaner,127.78,44,Male,11,4,Positive,166
P0167,Bluetooth Speaker,Electronics,Smartwatches,238.45,61,Female,16,5,Very Positive,167
P0168,T-Shirt,Clothing,Dresses,178.77,21,Female,34,5,Neutral,168
P0169,Washing Machine,Home Appliances,Washing Machine,855.56,21,Female,40,4,Positive,169
P0170,Skincare Cream,Beauty,Skin Care,76.22,63,Male,20,3,Neutral,170
P0171,Microwave,Home Appliances,Air Conditioner,563.29,34,Female,13,4,Very Positive,171
P0172,Bookshelf,Furniture,Sofa,994.93,33,Female,27,4,Positive,172
P0173,Soccer Ball,Sports,Basketball,612.15,20,Female,43,4,Positive,173
P0174,Soccer Ball,Sports,Tennis Racket,661.64,65,Female,11,5,Very Positive,174
P0175,Chair,Furniture,Sofa,929.38,56,Male,2,4,Very Positive,175
P0176,Smartphone,Electronics,Mobile Phones,443.78,60,Female,2,4,Very Positive,176
P0177,Foundation,Beauty,Skin Care,133.64,40,Male,18,4,Neutral,177
P0178,Pants,Clothing,Jackets,39.4,61,Female,20,3,Neutral,178
P0179,Pants,Clothing,Shoes,190.36,31,Male,26,3,Neutral,179
P0180,Pants,Clothing,T-Shirts,15.41,42,Male,17,1,Neutral,180
P0181,Bluetooth Speaker,Electronics,Tablets,508.89,35,Female,21,5,Positive,181
P0182,Wireless Mouse,Electronics,Laptops,410.43,32,Female,19,4,Positive,182
P0183,Washing Machine,Home Appliances,Air Conditioner,447.48,47,Female,11,5,Positive,183
P0184,Lipstick,Beauty,Hair Care,5.35,39,Male,20,1,Negative,184
P0185,Air Conditioner,Home Appliances,Air Conditioner,154.37,52,Male,13,3,Positive,185
P0186,Shampoo,Beauty,Hair Care,31.48,21,Male,43,1,Negative,186
P0187,Dining Table,Furniture,Sofa,174.51,36,Female,13,3,Positive,187
P0188,Bookshelf,Furniture,Bookshelf,385.43,47,Male,11,5,Very Positive,188
P0189,Vacuum Cleaner,Home Appliances,Air Conditioner,641.64,54,Female,16,4,Very Positive,189
P0190,Jacket,Clothing,Dresses,141.92,22,Female,31,3,Positive,190
P0191,Chair,Furniture,Sofa,874.36,32,Male,28,4,Positive,191
P0192,T-Shirt,Clothing,Shoes,175.58,51,Female,12,5,Neutral,192
P0193,Dress,Clothing,Sweaters,142.25,61,Male,13,4,Positive,193
P0194,Cabinet,Furniture,Bookshelf,869.57,49,Male,15,4,Very Positive,194
P0195,Foundation,Beauty,Hair Care,121.27,20,Male,29,3,Neutral,195
P0196,Dining Table,Furniture,Cabinet,346.74,57,Female,11,4,Very Positive,196
P0197,Tennis Racket,Sports,Tennis Racket,119.09,53,Female,0,4,Neutral,197
P0198,Chair,Furniture,Chair,1241.02,18,Female,10,5,Positive,198
P0199,Football,Sports,Tennis Racket,760.82,24,Male,19,4,Very Positive,199
P0200,Shoes,Clothing,Dresses,88.32,65,Female,18,5,Neutral,200
P0201,Bookshelf,Furniture,Table,766.49,43,Female,21,5,Positive,201
P0202,Refrigerator,Home Appliances,Microwave,219.83,28,Female,19,5,Positive,202
P0203,Lipstick,Beauty,Hair Care,15.5,33,Female,30,2,Neutral,203
P0204,Couch,Furniture,Chair,340.54,33,Male,29,4,Very Positive,204
P0205,Refrigerator,Home Appliances,Air Conditioner,692.35,38,Male,14,5,Very Positive,205
P0206,Laptop,Electronics,Mobile Phones,1231.86,32,Female,12,5,Very Positive,206
P0207,Wireless Mouse,Electronics,Tablets,885.59,33,Female,24,4,Very Positive,207
P0208,Sweater,Clothing,T-Shirts,56.77,32,Female,21,3,Positive,208
P0209,Bookshelf,Furniture,Sofa,607.99,55,Female,16,5,Very Positive,209
P0210,Bicycle,Sports,Football,677.52,62,Male,12,5,Very Positive,210
P0211,Perfume,Beauty,Fragrance,90.14,43,Male,28,4,Positive,211
P0212,Sofa,Furniture,Sofa,972.31,65,Male,11,4,Very Positive,212
P0213,Microwave,Home Appliances,Refrigerator,154.47,29,Male,12,4,Positive,213
P0214,Sofa,Furniture,Bookshelf,1431.14,30,Male,25,5,Positive,214
P0215,Tablet,Electronics,Headphones,385.92,46,Male,29,4,Positive,215
P0216,Jeans,Clothing,Jackets,115.62,28,Male,38,3,Neutral,216
P0217,Jeans,Clothing,Dresses,53.23,37,Female,10,4,Neutral,217
P0218,Laptop,Electronics,Speakers,905.02,54,Male,12,5,Positive,218
P0219,Bluetooth Speaker,Electronics,Speakers,615.26,36,Female,20,4,Positive,219
P0220,Tennis Racket,Sports,Yoga Mat,73.12,49,Male,24,3,Neutral,220
P0221,Wireless Mouse,Electronics,Mobile Phones,1475.67,35,Female,20,4,Positive,221
P0222,Dining Table,Furniture,Cabinet,883.72,25,Male,45,5,Very Positive,222
P0223,Sweater,Clothing,Jackets,63.63,42,Male,23,4,Positive,223
P0224,Headphones,Electronics,Mobile Phones,421.76,25,Female,25,5,Very Positive,224
P0225,Sweater,Clothing,Sweaters,86.7,27,Male,26,5,Neutral,225
P0226,Tablet,Electronics,Headphones,403.85,24,Female,37,4,Positive,226
P0227,Sweater,Clothing,T-Shirts,164.8,46,Female,30,3,Neutral,227
P0228,Couch,Furniture,Sofa,150.13,24,Male,34,3,Positive,228
P0229,Air Conditioner,Home Appliances,Washing Machine,743.53,57,Female,6,4,Positive,229
P0230,Headphones,Electronics,Smartwatches,1484.25,50,Male,11,5,Very Positive,230
P0231,Microwave,Home Appliances,Vacuum Cleaner,642.54,43,Male,28,4,Positive,231
P0232,Dishwasher,Home Appliances,Refrigerator,392.44,48,Male,17,4,Positive,232
P0233,Cabinet,Furniture,Bookshelf,1005.99,55,Male,15,5,Positive,233
P0234,Chair,Furniture,Table,802.55,43,Female,17,5,Very Positive,234
P0235,Skincare Cream,Beauty,Nail Polish,63.87,30,Male,12,3,Positive,235
P0236,Sweater,Clothing,Pants,21.04,24,Female,45,3,Negative,236
P0237,Bookshelf,Furniture,Sofa,723.99,34,Female,23,5,Very Positive,237
P0238,Basketball,Sports,Football,36.3,19,Male,35,2,Neutral,238
P0239,Shampoo,Beauty,Nail Polish,82.03,20,Male,11,4,Neutral,239
P0240,Tablet,Electronics,Headphones,1100.91,25,Male,45,5,Very Positive,240
P0241,Dishwasher,Home Appliances,Refrigerator,564.01,57,Male,6,4,Very Positive,241
P0242,Air Conditioner,Home Appliances,Washing Machine,626.19,43,Female,22,5,Very Positive,242
P0243,Foundation,Beauty,Hair Care,198.61,53,Female,14,3,Neutral,243
P0244,Sofa,Furniture,Cabinet,732.37,54,Male,2,4,Very Positive,244
P0245,Smartphone,Electronics,Laptops,724.22,64,Female,18,4,Very Positive,245
P0246,Washing Machine,Home Appliances,Washing Machine,352.92,63,Female,14,4,Very Positive,246
P0247,Cabinet,Furniture,Chair,1445.67,26,Male,35,5,Positive,247
P0248,Smartwatch,Electronics,Speakers,960.75,50,Female,19,4,Very Positive,248
P0249,Shampoo,Beauty,Makeup,174.75,63,Male,1,5,Neutral,249
P0250,Cabinet,Furniture,Sofa,936.65,19,Male,30,4,Positive,250
P0251,Yoga Mat,Sports,Yoga Mat,441.83,62,Female,18,5,Positive,251
P0252,Air Conditioner,Home Appliances,Refrigerator,652.47,39,Male,12,5,Very Positive,252
P0253,Chair,Furniture,Bookshelf,1407.61,44,Male,10,5,Positive,253
P0254,Air Conditioner,Home Appliances,Washing Machine,82.49,35,Male,16,3,Neutral,254
P0255,Tennis Racket,Sports,Yoga Mat,715.59,18,Female,10,5,Very Positive,255
P0256,Headphones,Electronics,Smartwatches,757.4,64,Male,15,5,Very Positive,256
P0257,Foundation,Beauty,Hair Care,125.53,27,Male,32,5,Neutral,257
P0258,T-Shirt,Clothing,Shoes,125.2,42,Female,11,3,Neutral,258
P0259,Laptop,Electronics,Smartwatches,1090.91,40,Female,17,4,Very Positive,259
P0260,Air Conditioner,Home Appliances,Air Conditioner,317.37,50,Male,13,4,Very Positive,260
P0261,Bicycle,Sports,Tennis Racket,74.25,28,Female,23,4,Positive,261
P0262,Perfume,Beauty,Makeup,172.82,62,Male,19,3,Neutral,262
P0263,Lipstick,Beauty,Skin Care,102.15,36,Female,17,4,Neutral,263
P0264,Wireless Mouse,Electronics,Tablets,1149.11,45,Male,17,4,Very Positive,264
P0265,Yoga Mat,Sports,Bicycle,464.98,39,Female,25,4,Positive,265
P0266,Vacuum Cleaner,Home Appliances,Microwave,89.91,31,Male,16,3,Neutral,266
P0267,Dishwasher,Home Appliances,Vacuum Cleaner,411.86,57,Male,20,5,Very Positive,267
P0268,Cabinet,Furniture,Table,867.49,27,Male,43,4,Positive,268
P0269,Couch,Furniture,Table,721.01,63,Male,5,5,Positive,269
P0270,Smartwatch,Electronics,Tablets,1423.65,34,Female,23,5,Very Positive,270
P0271,T-Shirt,Clothing,T-Shirts,168.7,46,Male,30,3,Positive,271
P0272,Bicycle,Sports,Basketball,760.7,46,Female,30,4,Very Positive,272
P0273,Sweater,Clothing,Sweaters,178.12,53,Female,12,4,Neutral,273
P0274,Washing Machine,Home Appliances,Vacuum Cleaner,312.27,60,Female,12,4,Positive,274
P0275,Soccer Ball,Sports,Football,324.48,21,Male,14,4,Positive,275
P0276,Laptop,Electronics,Speakers,1052.48,51,Female,1,5,Positive,276
P0277,Football,Sports,Yoga Mat,693.71,60,Male,5,4,Very Positive,277
P0278,Football,Sports,Bicycle,88.52,62,Female,14,3,Positive,278
P0279,Yoga Mat,Sports,Tennis Racket,460,39,Female,13,5,Positive,279
P0280,Foundation,Beauty,Nail Polish,190.86,20,Female,43,5,Positive,280
P0281,Bicycle,Sports,Yoga Mat,728.13,57,Female,16,4,Positive,281
P0282,Nail Polish,Beauty,Makeup,171.47,63,Female,20,4,Positive,282
P0283,Cabinet,Furniture,Bookshelf,724.52,27,Male,26,5,Very Positive,283
P0284,Soccer Ball,Sports,Yoga Mat,501.11,18,Male,42,5,Positive,284
P0285,Perfume,Beauty,Skin Care,135.44,61,Male,13,4,Neutral,285
P0286,Football,Sports,Basketball,588.57,53,Male,15,5,Positive,286
P0287,Tennis Racket,Sports,Tennis Racket,608.57,34,Female,29,4,Very Positive,287
P0288,Dress,Clothing,T-Shirts,98.29,37,Male,15,5,Positive,288
P0289,Shampoo,Beauty,Nail Polish,40.03,48,Male,23,1,Negative,289
P0290,Jacket,Clothing,Pants,79.52,48,Female,28,4,Neutral,290
P0291,Bicycle,Sports,Basketball,336.84,30,Female,27,4,Very Positive,291
P0292,Bookshelf,Furniture,Cabinet,1436.2,27,Male,38,4,Very Positive,292
P0293,Smartwatch,Electronics,Smartwatches,737.25,46,Male,30,4,Very Positive,293
P0294,Chair,Furniture,Bookshelf,543.09,51,Female,3,4,Very Positive,294
P0295,Yoga Mat,Sports,Football,614.32,26,Female,35,4,Very Positive,295
P0296,Chair,Furniture,Bookshelf,577.39,61,Female,6,5,Positive,296
P0297,Yoga Mat,Sports,Tennis Racket,377.06,49,Female,13,5,Very Positive,297
P0298,T-Shirt,Clothing,Pants,17.08,35,Male,11,2,Negative,298
P0299,Washing Machine,Home Appliances,Vacuum Cleaner,898.51,28,Female,5,5,Positive,299
P0300,Dining Table,Furniture,Cabinet,1262.35,23,Male,33,4,Positive,300
P0301,Jeans,Clothing,T-Shirts,33.81,52,Female,16,3,Negative,301
P0302,Smartwatch,Electronics,Smartwatches,555.97,32,Male,25,5,Positive,302
P0303,Wireless Mouse,Electronics,Mobile Phones,1360.16,37,Male,12,4,Positive,303
P0304,Couch,Furniture,Bookshelf,1185.95,57,Female,1,5,Very Positive,304
P0305,Foundation,Beauty,Nail Polish,10.97,65,Female,0,3,Neutral,305
P0306,Laptop,Electronics,Smartwatches,143.43,39,Male,12,3,Neutral,306
P0307,Laptop,Electronics,Headphones,98.5,54,Female,10,5,Positive,307
P0308,Jeans,Clothing,T-Shirts,46.59,23,Male,22,2,Neutral,308
P0309,Microwave,Home Appliances,Vacuum Cleaner,607.25,19,Male,19,4,Positive,309
P0310,Perfume,Beauty,Hair Care,48.23,56,Female,6,2,Negative,310
P0311,Yoga Mat,Sports,Tennis Racket,287.78,49,Male,24,5,Positive,311
P0312,Smartwatch,Electronics,Mobile Phones,78.28,41,Male,24,4,Positive,312
P0313,Dishwasher,Home Appliances,Refrigerator,370.47,26,Female,26,5,Very Positive,313
P0314,Nail Polish,Beauty,Nail Polish,84.73,28,Male,50,4,Neutral,314
P0315,Cabinet,Furniture,Bookshelf,493.69,34,Male,19,4,Positive,315
P0316,Chair,Furniture,Cabinet,579.84,41,Male,16,5,Very Positive,316
P0317,Shoes,Clothing,Dresses,162.64,37,Female,27,4,Positive,317
P0318,Couch,Furniture,Cabinet,838.54,60,Female,17,5,Positive,318
P0319,Laptop,Electronics,Tablets,557.85,47,Female,24,5,Very Positive,319
P0320,Dress,Clothing,Jackets,179.19,50,Male,12,3,Positive,320
P0321,Tablet,Electronics,Smartwatches,988.43,59,Female,3,4,Very Positive,321
P0322,Washing Machine,Home Appliances,Air Conditioner,206.1,39,Male,15,4,Very Positive,322
P0323,Skincare Cream,Beauty,Nail Polish,71.6,20,Female,27,3,Positive,323
P0324,Dining Table,Furniture,Sofa,130.35,33,Female,11,5,Positive,324
P0325,Foundation,Beauty,Fragrance,37.19,46,Male,12,1,Neutral,325
P0326,Perfume,Beauty,Makeup,18.84,50,Male,19,2,Neutral,326
P0327,Jeans,Clothing,Pants,73.45,26,Female,20,5,Neutral,327
P0328,Smartphone,Electronics,Laptops,540.5,20,Female,28,4,Positive,328
P0329,Skincare Cream,Beauty,Fragrance,35.59,36,Male,20,3,Negative,329
P0330,Washing Machine,Home Appliances,Microwave,522.73,20,Female,44,5,Very Positive,330
P0331,Bookshelf,Furniture,Cabinet,520.87,34,Male,22,4,Positive,331
P0332,Nail Polish,Beauty,Nail Polish,134.52,63,Female,18,5,Neutral,332
P0333,Laptop,Electronics,Headphones,291.52,25,Female,16,5,Positive,333
P0334,Dress,Clothing,T-Shirts,189.99,53,Male,16,3,Neutral,334
P0335,Dining Table,Furniture,Chair,879.65,64,Female,0,5,Positive,335
